ID_Post	Headline	Body	Status	ArgumentsUsed	Discriminating	Inappropriate	OffTopic	PersonalStories	PossiblyFeedback	SentimentNegative	SentimentNeutral	SentimentPositive	HeadBody	new_labels
136450	"""Die Grünen fordern mittlerweile ein eigenes Schulfach, um Buben Respekt vor Frauen beizubringen."""	So züchtet man selbstlose Soldaten heran und die Frauen dürfen wieder weiße Federn für Verrat und Feigheit an die Männer verteilen. Wie weit das geht, durfte ich vor ein paar Tagen hören, als ein 16-jähriger der Meinung war, nur Frauen dürften aus Kriegsgebieten flüchten, auch wenn sie alleine sind, aber bei Männer eben nicht. Die Männer sollten sich der Gefahr stellen und ihrem Land dienen und nicht feige davon rennen.	online				OffTopic			SentimentNegative			"""Die Grünen fordern mittlerweile ein eigenes Schulfach, um Buben Respekt vor Frauen beizubringen."" So züchtet man selbstlose Soldaten heran und die Frauen dürfen wieder weiße Federn für Verrat und Feigheit an die Männer verteilen. Wie weit das geht, durfte ich vor ein paar Tagen hören, als ein 16-jähriger der Meinung war, nur Frauen dürften aus Kriegsgebieten flüchten, auch wenn sie alleine sind, aber bei Männer eben nicht. Die Männer sollten sich der Gefahr stellen und ihrem Land dienen und nicht feige davon rennen."	online    OffTopic   SentimentNegative  
136449		Respekt dafür dass Sie 1,5 Jahre lang nicht zurückgeschlagen haben!	online				OffTopic			SentimentNegative			 Respekt dafür dass Sie 1,5 Jahre lang nicht zurückgeschlagen haben!	online    OffTopic   SentimentNegative  
136448	danke für die Klarstellung	damit hat mein hosts-file einen neuen Eintrag. NIE wieder diese Zeitung.	deleted				OffTopic			SentimentNegative			danke für die Klarstellung damit hat mein hosts-file einen neuen Eintrag. NIE wieder diese Zeitung.	deleted    OffTopic   SentimentNegative  
136447	Das ist einfach nur deren Hausrecht, die können da löschen und stehen lassen, was ihnen passt.	Sorry für rot ohne Begründung. Die ZensorIn spielt nicht mit.	deleted							SentimentNegative			Das ist einfach nur deren Hausrecht, die können da löschen und stehen lassen, was ihnen passt. Sorry für rot ohne Begründung. Die ZensorIn spielt nicht mit.	deleted       SentimentNegative  
136445		Gründlich daneben.	online				OffTopic				SentimentNeutral		 Gründlich daneben.	online    OffTopic    SentimentNeutral 
780784		und deswegen werden verteilungsquoten für asylwerber auch auf eurpäischer ebene niemals funktionieren	online	ArgumentsUsed							SentimentNeutral		 und deswegen werden verteilungsquoten für asylwerber auch auf eurpäischer ebene niemals funktionieren	online ArgumentsUsed       SentimentNeutral 
136444		dem hats was bracht.	online			Inappropriate	OffTopic			SentimentNegative			 dem hats was bracht.	online   Inappropriate OffTopic   SentimentNegative  
136443		"zensiert was geht....

weil halt viel nicht ins weibliche weltbild passt.

die wahre gleichberechtigung."	deleted				OffTopic				SentimentNeutral		" zensiert was geht....

weil halt viel nicht ins weibliche weltbild passt.

die wahre gleichberechtigung."	deleted    OffTopic    SentimentNeutral 
136442	Im Text ist dann aber nur von Frauen die Rede.	Tja, ich glaube das ist der Auslöser der Diskussion.	online				OffTopic			SentimentNegative			Im Text ist dann aber nur von Frauen die Rede. Tja, ich glaube das ist der Auslöser der Diskussion.	online    OffTopic   SentimentNegative  
136441	Das ist einfach nur deren Hausrecht, die können da löschen und stehen lassen, was ihnen passt.	"Von einem Qualitätsmedium mit dem Motto: 'Unabhängig, kritisch, unbeugsam und multimedial', erwarte ich mir etwas mehr.

@Redaktion: Ich hab's mir nun gespeichert. Bei Löschung ist es schnell wieder gepostet."	deleted				OffTopic			SentimentNegative			"Das ist einfach nur deren Hausrecht, die können da löschen und stehen lassen, was ihnen passt. Von einem Qualitätsmedium mit dem Motto: 'Unabhängig, kritisch, unbeugsam und multimedial', erwarte ich mir etwas mehr.

@Redaktion: Ich hab's mir nun gespeichert. Bei Löschung ist es schnell wieder gepostet."	deleted    OffTopic   SentimentNegative  
136440		"Welches meiner 3 gelöschten Postings war unangebracht und in welcher Weise?
Ich habe die starke Vermutung, dass die ZensorIn inhaltlich anderer Meinung war.

Hierzu noch 2 Fragen:

1. Das Motto von derstandard.at: 'Unabhängig, kritisch, unbeugsam und multimedial'. Gilt dies auch für Euch?

2. Dürfen dies auch die User?"	deleted	ArgumentsUsed			OffTopic				SentimentNeutral		" Welches meiner 3 gelöschten Postings war unangebracht und in welcher Weise?
Ich habe die starke Vermutung, dass die ZensorIn inhaltlich anderer Meinung war.

Hierzu noch 2 Fragen:

1. Das Motto von derstandard.at: 'Unabhängig, kritisch, unbeugsam und multimedial'. Gilt dies auch für Euch?

2. Dürfen dies auch die User?"	deleted ArgumentsUsed   OffTopic    SentimentNeutral 
136439	Klar bringt zurückschlagen etwas, das nennt sich Notwehr und kann durchaus die aktuelle Berohungssituation umgehend beenden.	"1. Gibt es in obigen Beispiel keine Bedrohungssituation, da geht es um Demütigung etc.

2. Sieht dies der Richter höchstwahrscheinlich genauso und du hast ein Problem.

Nicht nur in einer Beziehung gilt: Sobald du dich als körperlich Überlegener wehrst, ist die Grenze zur Notwehrüberschreitung sehr nahe."	online	ArgumentsUsed							SentimentNeutral		"Klar bringt zurückschlagen etwas, das nennt sich Notwehr und kann durchaus die aktuelle Berohungssituation umgehend beenden. 1. Gibt es in obigen Beispiel keine Bedrohungssituation, da geht es um Demütigung etc.

2. Sieht dies der Richter höchstwahrscheinlich genauso und du hast ein Problem.

Nicht nur in einer Beziehung gilt: Sobald du dich als körperlich Überlegener wehrst, ist die Grenze zur Notwehrüberschreitung sehr nahe."	online ArgumentsUsed       SentimentNeutral 
136438	oh Gott - die deutschsprachige Wikipedia!	"Und das noch bei einem ideologisch aufgeladenen Thema...

Wann hat die letzte Steinigng in Saudi Arabien oder den Emiraten stattgefunden?

Zu FGM und Religion:
https://en.wikipedia.org/wiki/Female_genital_mutilation#Religion
daraus:
""In Niger 55% of Christian women and girls experienced FGM, compared with 2% of their Muslim counterparts""."	online				OffTopic				SentimentNeutral		"oh Gott - die deutschsprachige Wikipedia! Und das noch bei einem ideologisch aufgeladenen Thema...

Wann hat die letzte Steinigng in Saudi Arabien oder den Emiraten stattgefunden?

Zu FGM und Religion:
https://en.wikipedia.org/wiki/Female_genital_mutilation#Religion
daraus:
""In Niger 55% of Christian women and girls experienced FGM, compared with 2% of their Muslim counterparts""."	online    OffTopic    SentimentNeutral 
136437	Ich wurde gestalked, erpresst, verleumdet, geschlagen, systematisch terrorisiert, sogar meine Elterm etc etc..	Sorry, aber sollte dies stimmen ist dies ein Fall für die Gerichte.	online	ArgumentsUsed							SentimentNeutral		Ich wurde gestalked, erpresst, verleumdet, geschlagen, systematisch terrorisiert, sogar meine Elterm etc etc.. Sorry, aber sollte dies stimmen ist dies ein Fall für die Gerichte.	online ArgumentsUsed       SentimentNeutral 
136436		"So gesehen: Ja, sehr guter Einwand.

Aufklärung und Humanismus, wie wohl Sie und wie ich sie verstehen, können tatsächlich eine große Hilfe sein, das ""Recht des Stärkeren"" zu überwinden, das ich als die Wurzel vieler Übel betrachte (von der direkten Gewalt zu Hause bis zu gerne ideologisch verbrämten Massen-Gewaltausbrüchen in Form von Kriegen u.ä.)."	online							SentimentNegative			" So gesehen: Ja, sehr guter Einwand.

Aufklärung und Humanismus, wie wohl Sie und wie ich sie verstehen, können tatsächlich eine große Hilfe sein, das ""Recht des Stärkeren"" zu überwinden, das ich als die Wurzel vieler Übel betrachte (von der direkten Gewalt zu Hause bis zu gerne ideologisch verbrämten Massen-Gewaltausbrüchen in Form von Kriegen u.ä.)."	online       SentimentNegative  
136435		"Wieso kann die Frau einen Schlägermann nicht verlassen? Ist die Tür versperrt?
Die Gründe sind doch ganz andere, zB gemeinsame Kinder, die man nicht im Stich lassen kann."	deleted							SentimentNegative			" Wieso kann die Frau einen Schlägermann nicht verlassen? Ist die Tür versperrt?
Die Gründe sind doch ganz andere, zB gemeinsame Kinder, die man nicht im Stich lassen kann."	deleted       SentimentNegative  
136434		"Mit solchen ""Studien"" können Sie sich die Wand pflastern, nur weil man etwas ""Studie"" betitelt ist es noch lange nicht ernstzunehmen."	deleted							SentimentNegative			" Mit solchen ""Studien"" können Sie sich die Wand pflastern, nur weil man etwas ""Studie"" betitelt ist es noch lange nicht ernstzunehmen."	deleted       SentimentNegative  
136433		"Haben Sie das Wörtchen ""nachweisbar"" in meinem Posting gelesen?"	online				OffTopic			SentimentNegative			" Haben Sie das Wörtchen ""nachweisbar"" in meinem Posting gelesen?"	online    OffTopic   SentimentNegative  
136459		Ja, die wollte ich damit andeuten, obwohl es bei weitem nicht die einzige ist. Irgendwo hatte ich mal eine Liste.	online				OffTopic				SentimentNeutral		 Ja, die wollte ich damit andeuten, obwohl es bei weitem nicht die einzige ist. Irgendwo hatte ich mal eine Liste.	online    OffTopic    SentimentNeutral 
136460		"Nur kann man auch ""Gewalt"" ausüben ohne den anderen körperlich zu schädigen. Was man dann, von außen betrachtet, sieht ist immer nur die körperliche Gewalt. 

Was ich sagen will ist, dass nicht immer der Zuschlagende der Täter ist."	online				OffTopic				SentimentNeutral		" Nur kann man auch ""Gewalt"" ausüben ohne den anderen körperlich zu schädigen. Was man dann, von außen betrachtet, sieht ist immer nur die körperliche Gewalt. 

Was ich sagen will ist, dass nicht immer der Zuschlagende der Täter ist."	online    OffTopic    SentimentNeutral 
136461	Ich könne mir vorstellen...	"Sie finden diese Männer besonders attraktiv, da sie ""stark"" sind.

Ebenso kennen sie dieses Verhalten bereits und wissen damit umzugehen. Im Gegenzug legen die Frauen oft ein Verhalten an den Tag, mit dem ""normale"" Menschen nicht umgehen können. Sie üben an ihrem Mann psychische Gewalt aus, mit der nur Männer umgehen können die auch selbst gewalttätig sind. Eine ""normale"" Person würde diese Frau sofort verlassen. Und diese Beziehungen funktionieren oft besser als man glaubt, trotz viel Leid auf beiden Seiten.

Mit ""normalen"" Männern können die gar nicht. Die reagieren verständnisvoll und erwarten sich im Gegenzug auch Respekt vor nicht deutlich mit Gewalt abgesteckten Grenzen. Diese Frauen können die Grenzen vielleicht gar nicht erkennen."	online								SentimentNeutral		"Ich könne mir vorstellen... Sie finden diese Männer besonders attraktiv, da sie ""stark"" sind.

Ebenso kennen sie dieses Verhalten bereits und wissen damit umzugehen. Im Gegenzug legen die Frauen oft ein Verhalten an den Tag, mit dem ""normale"" Menschen nicht umgehen können. Sie üben an ihrem Mann psychische Gewalt aus, mit der nur Männer umgehen können die auch selbst gewalttätig sind. Eine ""normale"" Person würde diese Frau sofort verlassen. Und diese Beziehungen funktionieren oft besser als man glaubt, trotz viel Leid auf beiden Seiten.

Mit ""normalen"" Männern können die gar nicht. Die reagieren verständnisvoll und erwarten sich im Gegenzug auch Respekt vor nicht deutlich mit Gewalt abgesteckten Grenzen. Diese Frauen können die Grenzen vielleicht gar nicht erkennen."	online        SentimentNeutral 
136462		"Ohne jetzt die Situation verharmlosen zu wollen - ich kenne einen Ähnlichen Fall wie bei Ihnen:

Die körperliche Überlegenheit (offenbar waren Sie nicht mit einer Boxerin zusammen) macht es für den Mann natürlich einen Deut einfacher. Die Gewalt der Frauen hinterlässt bei Männern meist keine (groben) Verletzungen. Männern wird es meist gelingen die Frau festzuhalten, oder am Boden zu fixieren.

Macht aber wie gesagt das Problem sicher nicht einfacher. Die Verletzungen selbst sind denke ich meist nicht das Problem. Eher die Demütigungen und Aggressionen."	online	ArgumentsUsed							SentimentNeutral		" Ohne jetzt die Situation verharmlosen zu wollen - ich kenne einen Ähnlichen Fall wie bei Ihnen:

Die körperliche Überlegenheit (offenbar waren Sie nicht mit einer Boxerin zusammen) macht es für den Mann natürlich einen Deut einfacher. Die Gewalt der Frauen hinterlässt bei Männern meist keine (groben) Verletzungen. Männern wird es meist gelingen die Frau festzuhalten, oder am Boden zu fixieren.

Macht aber wie gesagt das Problem sicher nicht einfacher. Die Verletzungen selbst sind denke ich meist nicht das Problem. Eher die Demütigungen und Aggressionen."	online ArgumentsUsed       SentimentNeutral 
508173		"und ich hab mir schon gedacht ""Bad Acting"" ist ein deutscher Kurort."	online	ArgumentsUsed							SentimentNeutral		" und ich hab mir schon gedacht ""Bad Acting"" ist ein deutscher Kurort."	online ArgumentsUsed       SentimentNeutral 
506650	Alles ist vergiftet	https://www.youtube.com/watch?v=T7uPzZq0et8	online	ArgumentsUsed		Inappropriate				SentimentNegative			Alles ist vergiftet https://www.youtube.com/watch?v=T7uPzZq0et8	online ArgumentsUsed  Inappropriate    SentimentNegative  
505081		Die Dame schon nackt gesehen?	online				OffTopic				SentimentNeutral		 Die Dame schon nackt gesehen?	online    OffTopic    SentimentNeutral 
504783	*	"warum sind die Soldaten nicht gegendert und wo bleibt das sonst so hysterische Geschrei danach?
50:50 auch im Krieg"	deleted							SentimentNegative			"* warum sind die Soldaten nicht gegendert und wo bleibt das sonst so hysterische Geschrei danach?
50:50 auch im Krieg"	deleted       SentimentNegative  
503368		Wird wohl Zeit. Ein rechte SPÖ braucht kein Mensch.	online	ArgumentsUsed							SentimentNeutral		 Wird wohl Zeit. Ein rechte SPÖ braucht kein Mensch.	online ArgumentsUsed       SentimentNeutral 
503012	"Ich gebe Ihnen recht, und ich bewundere alle freiwilligen Helfer, möchte diese keinesfalls ""Schlechtreden"""	"Ich selber gehöre eher zur Kategorie ""Herr Karl"", mir ist alles Wurscht, solange es nicht mich selber trifft. Aber bei 500.000 ""eigenen"" Arbeitslosen darf man ja wohl noch die Frage stellen, wie man sich das vorstellt, wenn man postuliert ""man werde jeden Flüchtling in den Arbeitsmarkt integrieren"". Stellt die Hr Hundstorfer selber ein? Und zusätzlich noch das Potential der Flüchtlinge für Wirtschaftswachstum anpreist. Bei der allgemeinen (politischen) Hilflosigkeit (neben den zu bewundernden, fruchtbringenden privaten Initiativen) darf man sich daher schon wundern,  Politiker reden halt nur, sie schaffen keine Jobs! Und die Menschen haben daher Angst um ihre Zukunft. Da ist es egal ob es moralisch berechtigte Angst ist oder nicht."	online	ArgumentsUsed			OffTopic			SentimentNegative			"Ich gebe Ihnen recht, und ich bewundere alle freiwilligen Helfer, möchte diese keinesfalls ""Schlechtreden"" Ich selber gehöre eher zur Kategorie ""Herr Karl"", mir ist alles Wurscht, solange es nicht mich selber trifft. Aber bei 500.000 ""eigenen"" Arbeitslosen darf man ja wohl noch die Frage stellen, wie man sich das vorstellt, wenn man postuliert ""man werde jeden Flüchtling in den Arbeitsmarkt integrieren"". Stellt die Hr Hundstorfer selber ein? Und zusätzlich noch das Potential der Flüchtlinge für Wirtschaftswachstum anpreist. Bei der allgemeinen (politischen) Hilflosigkeit (neben den zu bewundernden, fruchtbringenden privaten Initiativen) darf man sich daher schon wundern,  Politiker reden halt nur, sie schaffen keine Jobs! Und die Menschen haben daher Angst um ihre Zukunft. Da ist es egal ob es moralisch berechtigte Angst ist oder nicht."	online ArgumentsUsed   OffTopic   SentimentNegative  
502963	"""Alle wichtigen Themen würden ohnehin im Nationalrat beschlossen"""	"Vordergründig vielleicht. 
Sozusagen als parlamentarischer Grüßaugust.
Die grauen Eminenzen sitzen in den Bundesländern.
Der Mann hat echt keine Ahnung wie Österreich tickt"	online				OffTopic				SentimentNeutral		"""Alle wichtigen Themen würden ohnehin im Nationalrat beschlossen"" Vordergründig vielleicht. 
Sozusagen als parlamentarischer Grüßaugust.
Die grauen Eminenzen sitzen in den Bundesländern.
Der Mann hat echt keine Ahnung wie Österreich tickt"	online    OffTopic    SentimentNeutral 
500750		"wenn der jugendliche isoliert wird, dann löst das kein problem, sondern macht es erst gefährlich. genau das gegenteil müsste passieren, man muss sich mit dem kind beschäftigen, viel zuhören, viel reden, perspektiven geben. genau das hab ich als streetworker jahrelang gemacht. kein wunder, wenn IS propaganda diese methoden anwendet, sie funktionieren im positiven, wie zum negativen zweck.
ich hatte jährlich zu ca 500 verschiedenen jugendlichen regelmäßig kontakt, damit klar wird, was für eine reichweite man recht leicht entwickeln kann."	online		Discriminating		OffTopic			SentimentNegative			" wenn der jugendliche isoliert wird, dann löst das kein problem, sondern macht es erst gefährlich. genau das gegenteil müsste passieren, man muss sich mit dem kind beschäftigen, viel zuhören, viel reden, perspektiven geben. genau das hab ich als streetworker jahrelang gemacht. kein wunder, wenn IS propaganda diese methoden anwendet, sie funktionieren im positiven, wie zum negativen zweck.
ich hatte jährlich zu ca 500 verschiedenen jugendlichen regelmäßig kontakt, damit klar wird, was für eine reichweite man recht leicht entwickeln kann."	online  Discriminating  OffTopic   SentimentNegative  
499779		"Und anstatt die Aufklärung zur Kondomverwendung voranzutreiben, stigmatisieren wir jetzt die Apps?

Mit dieser Einstellung verurteilen wir doch unzählige Betroffene zu dieser Krankheit und in weiterer Folge zum Tode, nur weil uns das Thema unangenehm ist."	online	ArgumentsUsed							SentimentNeutral		" Und anstatt die Aufklärung zur Kondomverwendung voranzutreiben, stigmatisieren wir jetzt die Apps?

Mit dieser Einstellung verurteilen wir doch unzählige Betroffene zu dieser Krankheit und in weiterer Folge zum Tode, nur weil uns das Thema unangenehm ist."	online ArgumentsUsed       SentimentNeutral 
498525		Wenn die staatsstrukturen bilden ist das kein terrorismus mehr	online								SentimentNeutral		 Wenn die staatsstrukturen bilden ist das kein terrorismus mehr	online        SentimentNeutral 
498398		.... sofern sie nicht UPC Kunde sind, denn da werden sie mit ORF zwangsbeglückt auch digital!	online									SentimentPositive	 .... sofern sie nicht UPC Kunde sind, denn da werden sie mit ORF zwangsbeglückt auch digital!	online         SentimentPositive
497845	Ca. 0,2 Prozent vom BIP!		online								SentimentNeutral			online        SentimentNeutral 
497562		Ich wär ja für die Methode Schliemann. Einfach eine Hilti nehmen und nachschauen.	online								SentimentNeutral		 Ich wär ja für die Methode Schliemann. Einfach eine Hilti nehmen und nachschauen.	online        SentimentNeutral 
497560		zitiere die stelle in meinem posting, in der ich mich explizit darüber aufrege, echauffiere, kommentiere, erwähne, hinweise, aufzeige, kritisiere, bemängle oder ähnliches, dass merkur halalfleisch verkauft.	deleted								SentimentNeutral		 zitiere die stelle in meinem posting, in der ich mich explizit darüber aufrege, echauffiere, kommentiere, erwähne, hinweise, aufzeige, kritisiere, bemängle oder ähnliches, dass merkur halalfleisch verkauft.	deleted        SentimentNeutral 
497556		kaffääääääää	online								SentimentNeutral		 kaffääääääää	online        SentimentNeutral 
497555		"Netflix* hat die ersten drei Staffel im Angebot, in der Originalfassung und bei einem kleinen Aufpreis sogar in HD! 


*Dieses Posting könnte Produktplatzierungen enthalten.

PS: Mir gefällt die Serie wirklich ganz gut."	online								SentimentNeutral		" Netflix* hat die ersten drei Staffel im Angebot, in der Originalfassung und bei einem kleinen Aufpreis sogar in HD! 


*Dieses Posting könnte Produktplatzierungen enthalten.

PS: Mir gefällt die Serie wirklich ganz gut."	online        SentimentNeutral 
496867		der titel des standard-artikels oben ist zweifellos kräftig daneben gegangen und eine peinlichkeit der extraklasse. ihr einwand gegen meinen kommentar ist das allerdings auch. ihrer logik zufolge dürfte man nämlich überhaupt nichts als anthropogen oder menschengemacht bezeichnen (außer vielleicht bloße gedanken), weil physikalische kausalität immer im spiel ist, ganz egal, was sie betrachten. selbst das bildnis der mona lisa wäre demnach als naturerscheinung zu bezeichnen (das anhaften von farbpartikeln an oberflächen, absorption von licht durch partikel auf oberflächen und wahrnehmung von licht durch rezeptoren auf netzhäuten folgen alle physikalischen kausalitäten).	online								SentimentNeutral		 der titel des standard-artikels oben ist zweifellos kräftig daneben gegangen und eine peinlichkeit der extraklasse. ihr einwand gegen meinen kommentar ist das allerdings auch. ihrer logik zufolge dürfte man nämlich überhaupt nichts als anthropogen oder menschengemacht bezeichnen (außer vielleicht bloße gedanken), weil physikalische kausalität immer im spiel ist, ganz egal, was sie betrachten. selbst das bildnis der mona lisa wäre demnach als naturerscheinung zu bezeichnen (das anhaften von farbpartikeln an oberflächen, absorption von licht durch partikel auf oberflächen und wahrnehmung von licht durch rezeptoren auf netzhäuten folgen alle physikalischen kausalitäten).	online        SentimentNeutral 
