ID_Post	ID_Post	Headline	Body	Deleted	ArgumentsUsed	Discriminating	Inappropriate	OffTopic	PersonalStories	PossiblyFeedback	SentimentNegative	SentimentNeutral	SentimentPositive	new_labels	HeadBody
136450	136451	"""Die Grünen fordern mittlerweile ein eigenes Schulfach, um Buben Respekt vor Frauen beizubringen."""	So züchtet man selbstlose Soldaten heran und die Frauen dürfen wieder weiße Federn für Verrat und Feigheit an die Männer verteilen. Wie weit das geht, durfte ich vor ein paar Tagen hören, als ein 16-jähriger der Meinung war, nur Frauen dürften aus Kriegsgebieten flüchten, auch wenn sie alleine sind, aber bei Männer eben nicht. Die Männer sollten sich der Gefahr stellen und ihrem Land dienen und nicht feige davon rennen.	0	0	0	0	1	0	0	1	0	0	0000100100	"""Die Grünen fordern mittlerweile ein eigenes Schulfach, um Buben Respekt vor Frauen beizubringen."" So züchtet man selbstlose Soldaten heran und die Frauen dürfen wieder weiße Federn für Verrat und Feigheit an die Männer verteilen. Wie weit das geht, durfte ich vor ein paar Tagen hören, als ein 16-jähriger der Meinung war, nur Frauen dürften aus Kriegsgebieten flüchten, auch wenn sie alleine sind, aber bei Männer eben nicht. Die Männer sollten sich der Gefahr stellen und ihrem Land dienen und nicht feige davon rennen."
136449	136450		Respekt dafür dass Sie 1,5 Jahre lang nicht zurückgeschlagen haben!	0	0	0	0	1	0	0	1	0	0	0000100100	 Respekt dafür dass Sie 1,5 Jahre lang nicht zurückgeschlagen haben!
136448	136449	danke für die Klarstellung	damit hat mein hosts-file einen neuen Eintrag. NIE wieder diese Zeitung.	1	0	0	0	1	0	0	1	0	0	1000100100	danke für die Klarstellung damit hat mein hosts-file einen neuen Eintrag. NIE wieder diese Zeitung.
136447	136448	Das ist einfach nur deren Hausrecht, die können da löschen und stehen lassen, was ihnen passt.	Sorry für rot ohne Begründung. Die ZensorIn spielt nicht mit.	1	0	0	0	0	0	0	1	0	0	1000000100	Das ist einfach nur deren Hausrecht, die können da löschen und stehen lassen, was ihnen passt. Sorry für rot ohne Begründung. Die ZensorIn spielt nicht mit.
136445	136446		Gründlich daneben.	0	0	0	0	1	0	0	0	1	0	0000100010	 Gründlich daneben.
780784	780785		und deswegen werden verteilungsquoten für asylwerber auch auf eurpäischer ebene niemals funktionieren	0	1	0	0	0	0	0	0	1	0	0100000010	 und deswegen werden verteilungsquoten für asylwerber auch auf eurpäischer ebene niemals funktionieren
136444	136445		dem hats was bracht.	0	0	0	1	1	0	0	1	0	0	0001100100	 dem hats was bracht.
136443	136444		"zensiert was geht....

weil halt viel nicht ins weibliche weltbild passt.

die wahre gleichberechtigung."	1	0	0	0	1	0	0	0	1	0	1000100010	" zensiert was geht....

weil halt viel nicht ins weibliche weltbild passt.

die wahre gleichberechtigung."
136442	136443	Im Text ist dann aber nur von Frauen die Rede.	Tja, ich glaube das ist der Auslöser der Diskussion.	0	0	0	0	1	0	0	1	0	0	0000100100	Im Text ist dann aber nur von Frauen die Rede. Tja, ich glaube das ist der Auslöser der Diskussion.
136441	136442	Das ist einfach nur deren Hausrecht, die können da löschen und stehen lassen, was ihnen passt.	"Von einem Qualitätsmedium mit dem Motto: 'Unabhängig, kritisch, unbeugsam und multimedial', erwarte ich mir etwas mehr.

@Redaktion: Ich hab's mir nun gespeichert. Bei Löschung ist es schnell wieder gepostet."	1	0	0	0	1	0	0	1	0	0	1000100100	"Das ist einfach nur deren Hausrecht, die können da löschen und stehen lassen, was ihnen passt. Von einem Qualitätsmedium mit dem Motto: 'Unabhängig, kritisch, unbeugsam und multimedial', erwarte ich mir etwas mehr.

@Redaktion: Ich hab's mir nun gespeichert. Bei Löschung ist es schnell wieder gepostet."
136440	136441		"Welches meiner 3 gelöschten Postings war unangebracht und in welcher Weise?
Ich habe die starke Vermutung, dass die ZensorIn inhaltlich anderer Meinung war.

Hierzu noch 2 Fragen:

1. Das Motto von derstandard.at: 'Unabhängig, kritisch, unbeugsam und multimedial'. Gilt dies auch für Euch?

2. Dürfen dies auch die User?"	1	1	0	0	1	0	0	0	1	0	1100100010	" Welches meiner 3 gelöschten Postings war unangebracht und in welcher Weise?
Ich habe die starke Vermutung, dass die ZensorIn inhaltlich anderer Meinung war.

Hierzu noch 2 Fragen:

1. Das Motto von derstandard.at: 'Unabhängig, kritisch, unbeugsam und multimedial'. Gilt dies auch für Euch?

2. Dürfen dies auch die User?"
136439	136440	Klar bringt zurückschlagen etwas, das nennt sich Notwehr und kann durchaus die aktuelle Berohungssituation umgehend beenden.	"1. Gibt es in obigen Beispiel keine Bedrohungssituation, da geht es um Demütigung etc.

2. Sieht dies der Richter höchstwahrscheinlich genauso und du hast ein Problem.

Nicht nur in einer Beziehung gilt: Sobald du dich als körperlich Überlegener wehrst, ist die Grenze zur Notwehrüberschreitung sehr nahe."	0	1	0	0	0	0	0	0	1	0	0100000010	"Klar bringt zurückschlagen etwas, das nennt sich Notwehr und kann durchaus die aktuelle Berohungssituation umgehend beenden. 1. Gibt es in obigen Beispiel keine Bedrohungssituation, da geht es um Demütigung etc.

2. Sieht dies der Richter höchstwahrscheinlich genauso und du hast ein Problem.

Nicht nur in einer Beziehung gilt: Sobald du dich als körperlich Überlegener wehrst, ist die Grenze zur Notwehrüberschreitung sehr nahe."
136438	136439	oh Gott - die deutschsprachige Wikipedia!	"Und das noch bei einem ideologisch aufgeladenen Thema...

Wann hat die letzte Steinigng in Saudi Arabien oder den Emiraten stattgefunden?

Zu FGM und Religion:
https://en.wikipedia.org/wiki/Female_genital_mutilation#Religion
daraus:
""In Niger 55% of Christian women and girls experienced FGM, compared with 2% of their Muslim counterparts""."	0	0	0	0	1	0	0	0	1	0	0000100010	"oh Gott - die deutschsprachige Wikipedia! Und das noch bei einem ideologisch aufgeladenen Thema...

Wann hat die letzte Steinigng in Saudi Arabien oder den Emiraten stattgefunden?

Zu FGM und Religion:
https://en.wikipedia.org/wiki/Female_genital_mutilation#Religion
daraus:
""In Niger 55% of Christian women and girls experienced FGM, compared with 2% of their Muslim counterparts""."
136437	136438	Ich wurde gestalked, erpresst, verleumdet, geschlagen, systematisch terrorisiert, sogar meine Elterm etc etc..	Sorry, aber sollte dies stimmen ist dies ein Fall für die Gerichte.	0	1	0	0	0	0	0	0	1	0	0100000010	Ich wurde gestalked, erpresst, verleumdet, geschlagen, systematisch terrorisiert, sogar meine Elterm etc etc.. Sorry, aber sollte dies stimmen ist dies ein Fall für die Gerichte.
136436	136437		"So gesehen: Ja, sehr guter Einwand.

Aufklärung und Humanismus, wie wohl Sie und wie ich sie verstehen, können tatsächlich eine große Hilfe sein, das ""Recht des Stärkeren"" zu überwinden, das ich als die Wurzel vieler Übel betrachte (von der direkten Gewalt zu Hause bis zu gerne ideologisch verbrämten Massen-Gewaltausbrüchen in Form von Kriegen u.ä.)."	0	0	0	0	0	0	0	1	0	0	0000000100	" So gesehen: Ja, sehr guter Einwand.

Aufklärung und Humanismus, wie wohl Sie und wie ich sie verstehen, können tatsächlich eine große Hilfe sein, das ""Recht des Stärkeren"" zu überwinden, das ich als die Wurzel vieler Übel betrachte (von der direkten Gewalt zu Hause bis zu gerne ideologisch verbrämten Massen-Gewaltausbrüchen in Form von Kriegen u.ä.)."
136435	136436		"Wieso kann die Frau einen Schlägermann nicht verlassen? Ist die Tür versperrt?
Die Gründe sind doch ganz andere, zB gemeinsame Kinder, die man nicht im Stich lassen kann."	1	0	0	0	0	0	0	1	0	0	1000000100	" Wieso kann die Frau einen Schlägermann nicht verlassen? Ist die Tür versperrt?
Die Gründe sind doch ganz andere, zB gemeinsame Kinder, die man nicht im Stich lassen kann."
136434	136435		"Mit solchen ""Studien"" können Sie sich die Wand pflastern, nur weil man etwas ""Studie"" betitelt ist es noch lange nicht ernstzunehmen."	1	0	0	0	0	0	0	1	0	0	1000000100	" Mit solchen ""Studien"" können Sie sich die Wand pflastern, nur weil man etwas ""Studie"" betitelt ist es noch lange nicht ernstzunehmen."
136433	136434		"Haben Sie das Wörtchen ""nachweisbar"" in meinem Posting gelesen?"	0	0	0	0	1	0	0	1	0	0	0000100100	" Haben Sie das Wörtchen ""nachweisbar"" in meinem Posting gelesen?"
136459	136460		Ja, die wollte ich damit andeuten, obwohl es bei weitem nicht die einzige ist. Irgendwo hatte ich mal eine Liste.	0	0	0	0	1	0	0	0	1	0	0000100010	 Ja, die wollte ich damit andeuten, obwohl es bei weitem nicht die einzige ist. Irgendwo hatte ich mal eine Liste.
136460	136461		"Nur kann man auch ""Gewalt"" ausüben ohne den anderen körperlich zu schädigen. Was man dann, von außen betrachtet, sieht ist immer nur die körperliche Gewalt. 

Was ich sagen will ist, dass nicht immer der Zuschlagende der Täter ist."	0	0	0	0	1	0	0	0	1	0	0000100010	" Nur kann man auch ""Gewalt"" ausüben ohne den anderen körperlich zu schädigen. Was man dann, von außen betrachtet, sieht ist immer nur die körperliche Gewalt. 

Was ich sagen will ist, dass nicht immer der Zuschlagende der Täter ist."
136461	136462	Ich könne mir vorstellen...	"Sie finden diese Männer besonders attraktiv, da sie ""stark"" sind.

Ebenso kennen sie dieses Verhalten bereits und wissen damit umzugehen. Im Gegenzug legen die Frauen oft ein Verhalten an den Tag, mit dem ""normale"" Menschen nicht umgehen können. Sie üben an ihrem Mann psychische Gewalt aus, mit der nur Männer umgehen können die auch selbst gewalttätig sind. Eine ""normale"" Person würde diese Frau sofort verlassen. Und diese Beziehungen funktionieren oft besser als man glaubt, trotz viel Leid auf beiden Seiten.

Mit ""normalen"" Männern können die gar nicht. Die reagieren verständnisvoll und erwarten sich im Gegenzug auch Respekt vor nicht deutlich mit Gewalt abgesteckten Grenzen. Diese Frauen können die Grenzen vielleicht gar nicht erkennen."	0	0	0	0	0	0	0	0	1	0	0000000010	"Ich könne mir vorstellen... Sie finden diese Männer besonders attraktiv, da sie ""stark"" sind.

Ebenso kennen sie dieses Verhalten bereits und wissen damit umzugehen. Im Gegenzug legen die Frauen oft ein Verhalten an den Tag, mit dem ""normale"" Menschen nicht umgehen können. Sie üben an ihrem Mann psychische Gewalt aus, mit der nur Männer umgehen können die auch selbst gewalttätig sind. Eine ""normale"" Person würde diese Frau sofort verlassen. Und diese Beziehungen funktionieren oft besser als man glaubt, trotz viel Leid auf beiden Seiten.

Mit ""normalen"" Männern können die gar nicht. Die reagieren verständnisvoll und erwarten sich im Gegenzug auch Respekt vor nicht deutlich mit Gewalt abgesteckten Grenzen. Diese Frauen können die Grenzen vielleicht gar nicht erkennen."
136462	136463		"Ohne jetzt die Situation verharmlosen zu wollen - ich kenne einen Ähnlichen Fall wie bei Ihnen:

Die körperliche Überlegenheit (offenbar waren Sie nicht mit einer Boxerin zusammen) macht es für den Mann natürlich einen Deut einfacher. Die Gewalt der Frauen hinterlässt bei Männern meist keine (groben) Verletzungen. Männern wird es meist gelingen die Frau festzuhalten, oder am Boden zu fixieren.

Macht aber wie gesagt das Problem sicher nicht einfacher. Die Verletzungen selbst sind denke ich meist nicht das Problem. Eher die Demütigungen und Aggressionen."	0	1	0	0	0	0	0	0	1	0	0100000010	" Ohne jetzt die Situation verharmlosen zu wollen - ich kenne einen Ähnlichen Fall wie bei Ihnen:

Die körperliche Überlegenheit (offenbar waren Sie nicht mit einer Boxerin zusammen) macht es für den Mann natürlich einen Deut einfacher. Die Gewalt der Frauen hinterlässt bei Männern meist keine (groben) Verletzungen. Männern wird es meist gelingen die Frau festzuhalten, oder am Boden zu fixieren.

Macht aber wie gesagt das Problem sicher nicht einfacher. Die Verletzungen selbst sind denke ich meist nicht das Problem. Eher die Demütigungen und Aggressionen."
508173	508174		"und ich hab mir schon gedacht ""Bad Acting"" ist ein deutscher Kurort."	0	1	0	0	0	0	0	0	1	0	0100000010	" und ich hab mir schon gedacht ""Bad Acting"" ist ein deutscher Kurort."
506650	506651	Alles ist vergiftet	https://www.youtube.com/watch?v=T7uPzZq0et8	0	1	0	1	0	0	0	1	0	0	0101000100	Alles ist vergiftet https://www.youtube.com/watch?v=T7uPzZq0et8
505081	505082		Die Dame schon nackt gesehen?	0	0	0	0	1	0	0	0	1	0	0000100010	 Die Dame schon nackt gesehen?
504783	504784	*	"warum sind die Soldaten nicht gegendert und wo bleibt das sonst so hysterische Geschrei danach?
50:50 auch im Krieg"	1	0	0	0	0	0	0	1	0	0	1000000100	"* warum sind die Soldaten nicht gegendert und wo bleibt das sonst so hysterische Geschrei danach?
50:50 auch im Krieg"
503368	503369		Wird wohl Zeit. Ein rechte SPÖ braucht kein Mensch.	0	1	0	0	0	0	0	0	1	0	0100000010	 Wird wohl Zeit. Ein rechte SPÖ braucht kein Mensch.
503012	503013	"Ich gebe Ihnen recht, und ich bewundere alle freiwilligen Helfer, möchte diese keinesfalls ""Schlechtreden"""	"Ich selber gehöre eher zur Kategorie ""Herr Karl"", mir ist alles Wurscht, solange es nicht mich selber trifft. Aber bei 500.000 ""eigenen"" Arbeitslosen darf man ja wohl noch die Frage stellen, wie man sich das vorstellt, wenn man postuliert ""man werde jeden Flüchtling in den Arbeitsmarkt integrieren"". Stellt die Hr Hundstorfer selber ein? Und zusätzlich noch das Potential der Flüchtlinge für Wirtschaftswachstum anpreist. Bei der allgemeinen (politischen) Hilflosigkeit (neben den zu bewundernden, fruchtbringenden privaten Initiativen) darf man sich daher schon wundern,  Politiker reden halt nur, sie schaffen keine Jobs! Und die Menschen haben daher Angst um ihre Zukunft. Da ist es egal ob es moralisch berechtigte Angst ist oder nicht."	0	1	0	0	1	0	0	1	0	0	0100100100	"Ich gebe Ihnen recht, und ich bewundere alle freiwilligen Helfer, möchte diese keinesfalls ""Schlechtreden"" Ich selber gehöre eher zur Kategorie ""Herr Karl"", mir ist alles Wurscht, solange es nicht mich selber trifft. Aber bei 500.000 ""eigenen"" Arbeitslosen darf man ja wohl noch die Frage stellen, wie man sich das vorstellt, wenn man postuliert ""man werde jeden Flüchtling in den Arbeitsmarkt integrieren"". Stellt die Hr Hundstorfer selber ein? Und zusätzlich noch das Potential der Flüchtlinge für Wirtschaftswachstum anpreist. Bei der allgemeinen (politischen) Hilflosigkeit (neben den zu bewundernden, fruchtbringenden privaten Initiativen) darf man sich daher schon wundern,  Politiker reden halt nur, sie schaffen keine Jobs! Und die Menschen haben daher Angst um ihre Zukunft. Da ist es egal ob es moralisch berechtigte Angst ist oder nicht."
502963	502964	"""Alle wichtigen Themen würden ohnehin im Nationalrat beschlossen"""	"Vordergründig vielleicht. 
Sozusagen als parlamentarischer Grüßaugust.
Die grauen Eminenzen sitzen in den Bundesländern.
Der Mann hat echt keine Ahnung wie Österreich tickt"	0	0	0	0	1	0	0	0	1	0	0000100010	"""Alle wichtigen Themen würden ohnehin im Nationalrat beschlossen"" Vordergründig vielleicht. 
Sozusagen als parlamentarischer Grüßaugust.
Die grauen Eminenzen sitzen in den Bundesländern.
Der Mann hat echt keine Ahnung wie Österreich tickt"
500750	500751		"wenn der jugendliche isoliert wird, dann löst das kein problem, sondern macht es erst gefährlich. genau das gegenteil müsste passieren, man muss sich mit dem kind beschäftigen, viel zuhören, viel reden, perspektiven geben. genau das hab ich als streetworker jahrelang gemacht. kein wunder, wenn IS propaganda diese methoden anwendet, sie funktionieren im positiven, wie zum negativen zweck.
ich hatte jährlich zu ca 500 verschiedenen jugendlichen regelmäßig kontakt, damit klar wird, was für eine reichweite man recht leicht entwickeln kann."	0	0	1	0	1	0	0	1	0	0	0010100100	" wenn der jugendliche isoliert wird, dann löst das kein problem, sondern macht es erst gefährlich. genau das gegenteil müsste passieren, man muss sich mit dem kind beschäftigen, viel zuhören, viel reden, perspektiven geben. genau das hab ich als streetworker jahrelang gemacht. kein wunder, wenn IS propaganda diese methoden anwendet, sie funktionieren im positiven, wie zum negativen zweck.
ich hatte jährlich zu ca 500 verschiedenen jugendlichen regelmäßig kontakt, damit klar wird, was für eine reichweite man recht leicht entwickeln kann."
499779	499780		"Und anstatt die Aufklärung zur Kondomverwendung voranzutreiben, stigmatisieren wir jetzt die Apps?

Mit dieser Einstellung verurteilen wir doch unzählige Betroffene zu dieser Krankheit und in weiterer Folge zum Tode, nur weil uns das Thema unangenehm ist."	0	1	0	0	0	0	0	0	1	0	0100000010	" Und anstatt die Aufklärung zur Kondomverwendung voranzutreiben, stigmatisieren wir jetzt die Apps?

Mit dieser Einstellung verurteilen wir doch unzählige Betroffene zu dieser Krankheit und in weiterer Folge zum Tode, nur weil uns das Thema unangenehm ist."
498525	498526		Wenn die staatsstrukturen bilden ist das kein terrorismus mehr	0	0	0	0	0	0	0	0	1	0	0000000010	 Wenn die staatsstrukturen bilden ist das kein terrorismus mehr
498398	498399		.... sofern sie nicht UPC Kunde sind, denn da werden sie mit ORF zwangsbeglückt auch digital!	0	0	0	0	0	0	0	0	0	1	0000000001	 .... sofern sie nicht UPC Kunde sind, denn da werden sie mit ORF zwangsbeglückt auch digital!
497845	497846	Ca. 0,2 Prozent vom BIP!		0	0	0	0	0	0	0	0	1	0	0000000010	
497562	497563		Ich wär ja für die Methode Schliemann. Einfach eine Hilti nehmen und nachschauen.	0	0	0	0	0	0	0	0	1	0	0000000010	 Ich wär ja für die Methode Schliemann. Einfach eine Hilti nehmen und nachschauen.
497560	497561		zitiere die stelle in meinem posting, in der ich mich explizit darüber aufrege, echauffiere, kommentiere, erwähne, hinweise, aufzeige, kritisiere, bemängle oder ähnliches, dass merkur halalfleisch verkauft.	1	0	0	0	0	0	0	0	1	0	1000000010	 zitiere die stelle in meinem posting, in der ich mich explizit darüber aufrege, echauffiere, kommentiere, erwähne, hinweise, aufzeige, kritisiere, bemängle oder ähnliches, dass merkur halalfleisch verkauft.
497556	497557		kaffääääääää	0	0	0	0	0	0	0	0	1	0	0000000010	 kaffääääääää
497555	497556		"Netflix* hat die ersten drei Staffel im Angebot, in der Originalfassung und bei einem kleinen Aufpreis sogar in HD! 


*Dieses Posting könnte Produktplatzierungen enthalten.

PS: Mir gefällt die Serie wirklich ganz gut."	0	0	0	0	0	0	0	0	1	0	0000000010	" Netflix* hat die ersten drei Staffel im Angebot, in der Originalfassung und bei einem kleinen Aufpreis sogar in HD! 


*Dieses Posting könnte Produktplatzierungen enthalten.

PS: Mir gefällt die Serie wirklich ganz gut."
496867	496868		der titel des standard-artikels oben ist zweifellos kräftig daneben gegangen und eine peinlichkeit der extraklasse. ihr einwand gegen meinen kommentar ist das allerdings auch. ihrer logik zufolge dürfte man nämlich überhaupt nichts als anthropogen oder menschengemacht bezeichnen (außer vielleicht bloße gedanken), weil physikalische kausalität immer im spiel ist, ganz egal, was sie betrachten. selbst das bildnis der mona lisa wäre demnach als naturerscheinung zu bezeichnen (das anhaften von farbpartikeln an oberflächen, absorption von licht durch partikel auf oberflächen und wahrnehmung von licht durch rezeptoren auf netzhäuten folgen alle physikalischen kausalitäten).	0	0	0	0	0	0	0	0	1	0	0000000010	 der titel des standard-artikels oben ist zweifellos kräftig daneben gegangen und eine peinlichkeit der extraklasse. ihr einwand gegen meinen kommentar ist das allerdings auch. ihrer logik zufolge dürfte man nämlich überhaupt nichts als anthropogen oder menschengemacht bezeichnen (außer vielleicht bloße gedanken), weil physikalische kausalität immer im spiel ist, ganz egal, was sie betrachten. selbst das bildnis der mona lisa wäre demnach als naturerscheinung zu bezeichnen (das anhaften von farbpartikeln an oberflächen, absorption von licht durch partikel auf oberflächen und wahrnehmung von licht durch rezeptoren auf netzhäuten folgen alle physikalischen kausalitäten).
495674	495675		Sicher der Knaller im Weihnachtsgeschäft!	0	1	0	0	0	0	0	1	0	0	0100000100	 Sicher der Knaller im Weihnachtsgeschäft!
